titles,released,developers,publishers,id,summary,storyline,genres
Line of Sight: Vietnam,2003,nFusion,"Infogrames, Atari",24087,"Every day brings another mission. Every day is LIFE or DEATH. Be quick, be quiet and be careful. That’s what will get you HOME ALIVE.",,[5]
Lineage,1998,NCsoft,NCsoft,184185,A storytelling game about politics and messy families for 1-6 players,,[12]
Lineage II,2003,NCsoft,NCsoft,36298,"In ""The Dark Lineage"" you re-take the role of police detective Howard Loreid, a man tormented by the paranormal happenings around him. Howard discovers that his own terrible past has some connection to the madness that is about to swallow him, yet again.",,"[31, 32]"
Linley's Dungeon Crawl,1997,Linley Henzell,,84198,,,[]
Lionheart: Legacy of the Crusader,2003,Reflexive Entertainment,Interplay Entertainment,7505,"Starting from humble beginnings as a slave, rise to fame and fortune by proving your self worthy against the terrible odds presented by your world's realities and the recent crack in the fabric of reality. Face monstrous hordes and relentless bandits. Specialize in wielding cold steal or be a master of casting hot magical spells. Join factions to gain powerful allies and earn perks that will help you rise above the challenges.","Richard the Lionheart's massacre of 3000 prisoners at the Siege of Acre, during the Third Crusade, was used by a villainous character as fuel for a ritual which tore the fabric of reality. This resulted in magic invading the world from other mysterious dimensions. Our world has changed forever when it was ravaged by this uncontrolled magic and hordes of demonic creatures.","[12, 31]"
Little Big Adventure 2,1997,Adeline Software International,"Electronic Arts, Activision, Virgin Interactive",8793,"Little Big Adventure 2, also know as Twinsen's Odyssey is the sequel of Little Big Adventure in which you've liberated the world from its evil dictator Doctor Funfrock.Like its predecessor, Little Big Adventure 2 is an adventure game with action elements, a well-written story, memorable characters and a lot of humor.",,"[8, 9, 12, 31]"
Little Britain: The Video Game,2007,Revolution Studios,Blast! Entertainment Ltd,8557,"Little Britain: The Video Game is a collection of mini-games presented in the format of an episode from the TV show and players can get interactive with the sketch show characters in a series of eight mini-games featuring Lou and Andy, Vicky Pollard, Mr. Mann, Emily and Florence, Marjorie Dawes, Daffyd Thomas, Judy & Maggie and Letty. Each mini game plays like a sketch from the TV show and to win the game, the player must progress through all the sketches to the end of the show, where the credits will roll.",,[33]
Little Fighter 2,1999,"Marti Wong, Starsky Wong",,8700,"Little Fighter 2 is a popular Hong Kong freeware PC fighting game for Windows and is the sequel to the game Little Fighter (LF1). Little Fighter 2 was created by Marti Wong and Starsky Wong in 1999, and released in a long series of updates.The game supports up to 4 human players on one computer and a total of 8 characters using online play or computer-controlled opponents. Characters are controlled using the keyboard or a gamepad. All keys can be set via a configuration menu.The game has a commercially released sequel, Little Fighter Online. In 2009, in celebration of Little Fighter 2's tenth anniversary, version 2.0 was released. The update fixed minor bugs and added a gameplay recording feature, a new stage called 'Survival', a browser toolbar that is not mentioned in the installation process and obstructive ads being displayed while the game is being loaded. Version 2.0a was released in late 2009, with only a bug fix.",,"[4, 25, 32]"
Little Fighter Online,2005,"Marti Wong, Oscar Chu",U1 Technology,79905,"An free-to-play MMORPG based in the canon of the Little Fighter series, the game pays homage to Little Fighter 2. The game, however, is based on unstable servers, thus did not thrive long beyond its 2005 release.",,[12]
Littlest Pet Shop,2008,EA Salt Lake,Electronic Arts,78660,Littlest Pet Shop now for the Dsi,,[13]
Live for Speed,2003,LFS Team,LFS Team,9492,"Live for Speed (LFS) is a racing simulator developed by a three-person team comprising Scawen Roberts, Eric Bailey, and Victor van Vlaardingen. The main focus is to provide a realistic racing experience for the online multiplayer game and to allow single player races against AI cars.",,"[10, 13]"
Lock On: Modern Air Combat,2003,Eagle Dynamics,"Ubisoft, 1C Company",10201,"Lock On: Modern Air Combat is considered as a survey simulator by its creators. It contains 8 flyable aircraft and over 40 non-playable/AI-controlled planes. The game mainly revolves around air-to-air combat and air-to-ground combat with some optional, unique roles such as pinpoint/anti-radiation strikes, anti-ship strikes or aerobatics. The game realistically models all aspects of take-off and landing, AWACS (also known as AEW&C), carrier-based landings (for the Su-33), and aerial refueling.",,[13]
Lode Runner 2,1998,Presage Software,GT Interactive,73760,Lode Runner 2 is a sequel to the original Lode Runner and its remakes. The game is played in isometric view unlike its predecessors.,,"[8, 9, 15]"
Logical Journey of the Zoombinis,1996,Broderbund,Broderbund,20796,"An educational game by The Learning Company, in which players solve increasingly challenging logic puzzles to help the Zoombinis escape to a brand new home.",,[9]
London Taxi: Rushour,2008,Data Design Interactive,"Bold Games, Popcorn Arcade",4976,Collect customers and take them to famous London destinations within the time limit in order to get paid.,,[10]
Longbow Gold,1997,Origin Systems,"Jane's Combat Simulations, Electronic Arts",73363,,,[13]
Longbow 2,1997,Origin Systems,"Jane's Combat Simulations, Electronic Arts",71953,"Longbow 2 is a helicopter simulation focusing on the AH64 Apache, OH58 Kiowa and the UH60 Blackhawk",,[13]
The Longest Journey,1999,Funcom,Funcom,895,"The Longest Journey is an amazing graphical adventure, where the player controls the protagonist, April Ryan, on her journey between parallel universes. Embark on an exciting and original journey of discovery, where you will explore, solve puzzles, meet new people, face terrifying monsters, learn, grow, and live the adventure of a lifetime!","With the power to pass between worlds like others pass from waking to sleep, April must embark on the longest journey of her life; a journey not only across twin worlds, but also into her very own heart and soul. Embark on a voyage across phenomenal worlds, encounter a fantastic cast of unforgettable characters, and unravel one of the most epic stories ever told.","[2, 31]"
Lord of the Rings Online: Mines of Moria,2008,"Turbine, Inc.","Turbine, Inc.",774,"The Lord of the Rings Online: Mines of Moria is the first retail expansion pack for the MMORPG The Lord of the Rings Online. The storyline is set in Moria, an enormous underground complex in north-western Middle-earth. Apart from that, the expansion also adds the region Lórien. The game's level cap has been increased to level 60; and the expansion (also called ""Volume II"") extends the Epic storyline by six more books, and adds two new classes, the Rune-keeper and the Warden. Other new features include environment aware AI, dynamic lighting, and a new weapon enhancement system.",Explore a truly vast underground environment like you’ve never seen before. Battle the terrors of the Nameless Deep. Craft new legendary items that evolve and grow in power as you do. Experience the dread and wonder of Moria as one of the Rune-keeper and Warden classes. Achieve greatness as you seek to claim the knowledge and power lost for generations!,"[12, 31]"
Lord of the Rings Online: Shadows of Angmar,2007,"Turbine, Inc.","Turbine, Inc.",51193,"Much of the gameplay is typical of the MMO format: The player controls a character avatar which can be moved around the game world and interacts with other players, non-player (computer-controlled) characters (or ""NPCs"") and other entities in the virtual world. Camera angles can be switched between first-person and third-person options. Characters are improved by gaining levels. A character's level increases after it earns a set amount of experience points through the player versus environment (or ""PvE"") combat and storyline adventures. Characters' abilities are improved by increasing in level, but character skills must be purchased from specified NPCs after gaining a new level.The main storyline (also known as the ""Epic Quest Line"") is presented as a series of ""Books"", which consist of series of quests called ""Chapters"". There were initially eight Books when the game was released, with new books added with each free content update.Tolkien's Middle-earth as represented in The Lord of the Rings Online implements magic in a different manner than other MMORPGs such as World of Warcraft. There are only five ""wizards"" in the fictional world, none of which are player-controlled. Instead, there are active skills which require ""power"" (the equivalent of magic points). Some skills behave like magic (like healing or throwing a burning ember at an enemy), but are based on ""lore"". In addition, objects and artifacts are used to create effects similar to magic.Other features include a fast travel system and a detailed quest log with tracker and history.",,[12]
Lord of the Rings: Conquest,2009,Pandemic Studios,Electronic Arts,7056,"Play as Evil characters in a brand new, ‘Evil’ campaign. Battle through scenarios after Frodo failed to destroy the One Ring; it’s good to be bad! Battle online, with up to 16 players in instant action mode or 2-players in a co-op campaign or offline with 2-4 players* in split-screen. Local multiplayer — split-screen with up to 4 players competitively or 2 player co-op","In this exciting, action strategy game, players fight on the side of both Good and Evil in all the biggest battles from The Lord of the Rings movies. The Battlefront format allows them to switch between characters at will, to suit the circumstance or their style, reliving – and even reinventing – the chaotic and engrossing conflicts from the films as they choose how best to tackle their objectives and defeat their enemies.","[25, 31]"
Lord of the Rings: The Battle for Middle-earth II,2006,EA Los Angeles,EA Games,3156,In this add-on for The Lord of the Rings: The Battle for Middle-Earth II it is your goal to lead the great armies of the Witch-King called the Angmar to victory. But there are also other mentionable additions and changes which come with this add-on:All six factions from the main game now have access to new units and heroes like Prince Brand a Dwarven captain or the Uruk Deathbringers on the side of Isengard which are powerful two-handed swords-fighters.,,"[4, 11, 15, 31]"
Lord of the Rings: The Battle for Middle-earth II: The Rise of the Witch-king,2006,EA Los Angeles,EA Games,3156,In this add-on for The Lord of the Rings: The Battle for Middle-Earth II it is your goal to lead the great armies of the Witch-King called the Angmar to victory. But there are also other mentionable additions and changes which come with this add-on:All six factions from the main game now have access to new units and heroes like Prince Brand a Dwarven captain or the Uruk Deathbringers on the side of Isengard which are powerful two-handed swords-fighters.,,"[4, 11, 15, 31]"
Lord of the Rings: The Battle for Middle-earth,2004,EA Los Angeles,EA Games,3156,In this add-on for The Lord of the Rings: The Battle for Middle-Earth II it is your goal to lead the great armies of the Witch-King called the Angmar to victory. But there are also other mentionable additions and changes which come with this add-on:All six factions from the main game now have access to new units and heroes like Prince Brand a Dwarven captain or the Uruk Deathbringers on the side of Isengard which are powerful two-handed swords-fighters.,,"[4, 11, 15, 31]"
Lord of the Rings: The Fellowship of the Ring,2002,The Whole Experience Surreal Software,Universal Interactive,10798,"Released as a sequel to The Hobbit, this game was released outside of North America as Lord of the Rings: Game One.",,[31]
Lord of the Rings: The Return of the King,2003,EA Redwood Shores,Electronic Arts,2973,"The video game adaption of the acclaimed film of the same name. The Lord of the Rings: The Return of the King is a follow up the well received adaption of the first two films in the trilogy. The game expands on what The Two Towers accomplished, with the action and adventure sequel introducing three separate story lines from the movie: one following Aragorn, Legolas, and Gimli, as The Two Towers did, another following Gandalf, and a third following Frodo and Sam, with Merry, Pippin, and Faramir serving as unlockable characters. Gameplay features were also expanded upon, including multiplayer.",,"[25, 31]"
Lord of the Rings: War of the Ring,2003,Liquid Entertainment,Sierra Entertainment,174867,"In this Geo-strategic Seasonal Wargame, players will embark on new adventures to build armies for conquest and strategically expand their territory in pursuit of the One Ring. Set in the Third Age of Middle-earth, The Lord of the Rings: Rise to War offers an immersive and faithful rendition of the fictional world of Arda and its vast array of characters – from the Ranger of the North, Aragorn, to the Elven Lord of Rivendell, Elrond. Based on their choices to side with good or evil, players can build either Fellowships or Warbands, and collaborate with other members on razor-sharp attack plans and deeply fortified defenses against their rivals. Fans will cultivate the bonds of these alliances on the battlefield, all with the goal of expanding territories via the game’s tile-based map design. With the diverse terrains and waters of Middle-earth divided and represented by these tiles, each action-packed victory will claim another piece for the alliance, while each defeat will result in a loss of land. These complex alliance-building and tile-based systems inherent to The Lord of the Rings: Rise to War will set courageous adventurers on a path to not only outwit and defeat their enemies, but also seize the ultimate prize: the One Ring. The title’s state-of-the-art immersive gameplay and simulated warfare will engulf fans in grippingly realistic consequences to their actions in-game, all inspired by masterful storytelling.",,"[11, 12, 15, 24]"
Lords of EverQuest,2003,Rapid Eye Entertainment,Sony Online Entertainment,19633,Lords of EverQuest is a spin-off of the EverQuest franchise featuring real-time strategy.,,"[11, 15, 24, 31]"
Lords of Magic,1998,Impressions Games,Sierra Entertainment,51397,"In the fantasy world known as Urak, supporters of eight different religions constantly fight each other. One of them is Balkoth, known as the Lord of Death, who worships the dark deity Golgoth. Balkoth has sworn to destroy all other faiths in the name of his own god. The other lords have to expand their ranks and defend themselves against the mad zealot.  Lords of Magic is a strategy game that combines turn-based exploration and resource management with real-time combat. The player can choose to control any of the lords who oppose Balkoth. Each nation (faith) commanded by a lord has its own specific units. Before engaging in an offensive, the player must liberate a Great Temple for the faith of his/her choice. It is also necessary to build a stronghold, develop the nation's capital city, and recruit troops.  The troops are led by a champion, representing the ""hero"" of the game. This hero can be either a warrior, a thief, or a mage, possessing the classical advantages and disadvantages of these classes: the warrior is good in close combat, the thief can sabotage enemy armies, and the physically weak mage can cast devastating spells. The isometric combat proceeds in real-time, with an option to simply calculate the result of a battle immediately, depending on the participants' statistics.",,[15]
Lords of the Realm,1994,Impressions Games,Impressions Games,12669,"The year is 1268, the English throne lies empty, and power-hungry lords are ready to wage war for newfound power. Your people now look to you to lead them to glory and prosperity. Manage your lands, strike bargains, betray alliances and ultimately destroy your rivals in this classic combination of turn-based and real-time strategy, and become the undisputed Lord of the realm!You begin as the ruler of a small county, but lead wisely and keep your people secure and thriving, and soon you’ll broaden your horizons.Manage your farms, make trade negotiations, build castles, flatter and deceive your opponents and then march your armies into the lands of your rival nobles. Unify the land under your rule, and prove you have what it takes to be King.",,"[13, 15]"
Lords of the Realm II,1996,Impressions Games,Sierra Entertainment,19124,"The lands of England and Wales are ruled by powerful feudal nobles who cruelly oppress the people. They all have their eyes on the English throne, and they’re willing to do anything to seize it. The people cry out for a leader who can unite them: A leader worthy of a kingdom. Advancing the series’ trademark template of turn-based and real-time strategy,",,"[11, 12, 15, 16]"
Lords of the Realm III,2004,Impressions Games,Sierra Entertainment,7322,"At the start of a game, the player must choose a noble by either selecting one of the default nobles or creating a new one. Nobles act as user accounts within the game, wherein completed campaigns and saved games are local to each noble. A noble consists of three customizable features: housename, portrait, and heraldry.  Once a noble is selected, the player can choose to play a campaign or battle map, or load a saved game. While all the battle maps are available when a noble is created, the campaigns require that the player complete each level in sequence.",,"[11, 13, 15]"
Lose Your Marbles,1997,SegaSoft,SegaSoft,70330,,,[]
Lost Empire,2007,Pollux Gamelabs,Paradox Interactive,58906,Fringes of the Empire is a hybrid roguelike and top-down classic retrogame reimagined.,,[]
The Lost Mind of Dr. Brain,1994,Sierra Entertainment,Sierra Entertainment,79885,"This game is the third in the Dr. Brain series. Solve logic, math, and other puzzling conundrums designed to stress your brain.",,[9]
Lost Planet: Extreme Condition,2007,Capcom,Capcom,1913,"The game is played through a third person over-the-shoulder view. Players are allowed to switch between first person and third person at any moment. Players either travel on foot or ride various types of mechanized suits called Vital Suits (VSs). VSs carry heavy weapons such as chainguns and rocket launchers. They can pick up weapons lying on the ground and fire multiple weapons at once. On foot, players are able to use a grappling hook to pull themselves up to normally hard-to-reach places, or to hook onto a VS and hijack it. Driving VSs and using certain weapons requires thermal energy. Also, the planet's cold temperature causes the characters' thermal energy level to continually decrease. Players can replenish their thermal energy level by defeating enemies or activating data posts. Data posts also allow players to use their navigational radars to see incoming enemies. Each of the 11 levels is accompanied by a boss, which can be either a VS or a large Akrid.","Lost Planet takes place in the year known in the game as T.C. -80 on the fictional planet of E.D.N. III. After the Earth's conditions become too hostile for humans due to war, global warming and pollution, a fictional interstellar megacorporation named Neo-Venus Construction (NEVEC) plans to colonize E.D.N. III, a new Earth-like planet in grip of a brutal ice age. NEVEC discover that E.D.N. III is inhabited by an aggressive and territorial insectoid alien species named the Akrid, which come in all shapes and sizes and generate their own precious thermal energy. 150 years after a great war was fought in which the humans lost to the Akrid, the plot of the game revolves around Wayne Holden, a soldier who attempts to overthrow NEVEC, who still vie for control over E.D.N. III, and help colonization efforts for the remainder of the human race by destroying the Akrid, all the while attempting to survive both betrayals and the extreme conditions of the planet.The game starts with Wayne, his father Gale, and their unit taking on a mission to kill a giant Akrid known as Green Eye. During their mission, Wayne is separated from his squad and watches his father's VS explode. Wayne is left drifting in the snow and is frozen solid for 30 years. Wayne wakes up and finds himself in the care of Yuri Solotov and his crew of snow pirates; Luka and Rick. Apart from his name and the Green Eye, Wayne remembers nothing of his previous life. Yuri is particularly interested in the thermal extension (or Harmonizer) attached to Wayne's arm, which has enabled Wayne to survive all this time. Yuri tells Wayne that NEVEC is working on a project designed to thaw out the planet to make it safe to live on. Wayne joins Yuri's band, and while on a mission to wipe out an Akrid hive, fights a woman named Basil. Basil tells him that Yuri has killed her husband and that she was looking for revenge. At the same time, Yuri mysteriously disappears, leaving Wayne to question his loyalty. With the help of Rick and Luka, Wayne discovers the Green Eye's location and destroys it with Gale's (his fathers) VS. Shortly after, Wayne and his VS are attacked by NEVEC's field commander, Bandero. Slowly, after escaping the attack, Wayne remembers that rather Green Eye being responsible for killing Gale, it was actually a few NEVEC soldiers with Bendero watching. Wayne and Luka barely escape, only to find that their pirate fortress (trailer) has been sieged, and that Rick has been taken captive.For the next year, Wayne and Luka initiate hit and run attacks against NEVEC, which has taken control over the human race. During one of their attacks, they discover Rick is still alive due to him being rescued by Basil. Basil and Wayne take a NEVEC trooper named Joe hostage. It is after taking Joe prisoner that Basil goes on to explain that the Harmonizer slows down the aging process and unlocks the powers to Gale's VS. After they interrogate him, they find out more about NEVEC's Frontier Project. Joe tells them it is NEVEC's plan to make E.D.N. III a safe place to live for humans. After joining the snow pirates, Joe arranges for Wayne to meet with NEVEC leadership, inadvertently leading to an ambush where Bandero shoots Wayne in the leg. During the confrontation, Wayne and Joe learn that the project will use T-ENG to wipe out not only all Akrid but also kill all humans left on the surface while all of NEVEC watches safely from the sky. Horrified, the pirates go on a final mission to stop the project. Wayne confronts Bandero a final time, killing him and regaining his father's rebuilt VS. Wayne finds Yuri and before dying from torture, Yuri gives Wayne an attachment to his Harmonizer as it would allow him to unlock the true power of his VS.While Wayne begins his attack on NEVEC's honcho, Commander Isenberg, Basil sacrifices herself to buy him time and Joe sets off explosives to destroy the elevator from which NEVEC would hide. Wayne confronts Isenberg and after fighting in VSs, shoots him in the head with a single pistol bullet right before he passes out, losing his memory again. Wayne wakes up to find Luka and Rick starting to melt all of the ice and snow from the planet, and slowly colonization begins once more.","[5, 8, 31]"
Lost Planet 2,2009,Capcom,Capcom,1915,"Lost Planet 2, the sequel to Lost Planet: Extreme Condition, the landmark third-person shooter that sold over 2.3 million units worldwide.",,"[5, 31]"
Lost Sphear,2018,Tokyo RPG Factory,Square Enix,36534,"""The next evolution in this new golden age of JRPG’s arrives with LOST SPHEAR, bringing a fresh take on classic RPG gameplay! A young man, who suffered a phenomenon that he had never seen, faces an ominous power that threatens the fabric of reality. Awaken the power of Memory to restore what was lost! Muster different Memory and craft the world around you in a journey to save the world.""","As an ominous power threatens the fabric of reality, a young man chosen by destiny must arise to face a phenomenon never seen before. Enter Kanata, as he awakens from a devastating dream leading him to find his home, erased from existence. Awaken the power of Memory to restore the Lost and rebuild the world!","[12, 31]"
Lost: Via Domus,2008,Ubisoft Montreal,Ubisoft,7058,"In Via Domus, players control Elliott Maslow, another survivor of the Oceanic flight 815 plane crash. The game takes place during the first 70 days after the crash and includes all of the main characters from the show.","Oceanic Flight 815 out of Sydney, Australia, is mysteriously brought down out of the sky, crashing on an uncharted island somewhere in the Pacific Ocean. The survivors quickly learn they must band together in order to have any hope of rescue, because the island is treacherous and holds many secrets. As they are about to learn, the survivors have secrets of their own...Like the other castaways, out leading character has a tortured past that has brought him to the island, and he must redeem himself to find a way home. He suffers from amnesia and needs to find out who he is through playable flashbacks, interacting with the other castaways, and exploring the island.","[9, 31]"
Lotus Challenge,2001,Kuju Entertainment,Ignition Entertainment,3983,"Racing game, featuring 37 cars licensed by England's prestigious manufacturer, from vintage roadsters to high-tech concept cars designed by Lotus Engineers exclusively for the game. Players compete on 15 race tracks, ranging from highly detailed real-world city locations to exhilarating custom circuits and speedways. The game features five modes. In addition to standard racing challenges, Lotus Challenge there is also an innovative Story mode, requiring the player to perform a variety of stunts, missions and challenges -- weaving through oncoming traffic to escape the paparazzi, hill-climbs on treacherous, snowy alpine tracks, being filmed jumping lines of school buses for adverts and many others. The GameCube version, previously referred to as Lotus Extreme, is based on the Motor Trend-licensed game of the same name on Xbox.",,"[10, 13]"
Lovely Girls,1998,Digital Nightmares,Lomax Software,134122,"In this QIX variant, the screen should be filled as complete as possible with a picture of a naked female model. This is done by marking areas on the screen, which then (if there is no monster in them) are filled with the picture. When the player has filled 75% of the playfield the level is completed. The fill-area is marked with a white line, old filled white lines are marked as blue lines.",,[33]
Luftwaffe Commander,1999,"Eagle Interactive, R3M Infografica, REM 3D Models Bank","Strategic Simulations, Inc.",22840,Luftwaffe Commander is a World War II flight sim. It was part of SSI's Living Battlefield series.,,[13]
Lugaru,2005,Wolfire Games,Wolfire Games,14940,"Follow Turner, a rebel bunny rabbit with impressive combat skills in his quest to find those responsible for slaughtering his village. Uncover a far-reaching conspiracy involving the corrupt leaders of the rabbit republic and the wolves of the nearby lands.Streamlined Combat: Gone are the days of combo memorization and button mashing. Lugaru uses a context-sensitive combat system to put all the moves at your finger tips. It’s up to you to choose the right move at the right time and think your way through the fights.Open-Ended Strategy: Each level presents you with an environment and a series of enemies. How you choose to defeat your adversaries is entirely up to you. Storm in from the front and fight everyone at once or ambush your foes one at a time with stealth attacks.",,"[4, 8, 25, 32]"
Lula: The Sexy Empire,1998,"Interactive Strip, cdv Software Entertainment",Take-Two Interactive,11679,Lula: The Sexy Empire is a business simulation game for Windows and AmigaOS. The game revolves around building a multi-million dollar pornography and erotica industry. Character designs were done by German comic artist Carsten Wieland.,"After holding a bank and shooting guards, your two criminal buddies abandon you out in the middle of the desert, taking all the loot with them.This is where you start the game: In a quiet desert town, almost broke, and with the FBI on your heels. You meet up with Lula, an aspiring 'actress', and together decide to make your ways to the top.In the first part of the game you're in the small town, making enough money in a few days to buy a new identity, and evade the advancing FBI net, by taking photos and films of Lula in the nearby hotel. Once you get enough money, you decide to go into proper business for yourselves.The second part consists of you setting up a movie-making business, hiring and firing staff, generating film 'plots', setting up cutting and editing facilities, and haggling for the best distribution deals until you are able to be a distributor yourself. Build up money here and we advance to the final section of the game.Having made it in the movie-business, you now set up sex stores across the country, dealing more in resource-management and advertising until you're able to generate enough money to launch the Lula television satellite into orbit - the final aim of the game.","[2, 13]"
Lumines,2004,"Q Entertainment, Opus, Fupac","Bandai, Ubisoft, Wild Games",4689,"Lumines is a block-dropping game, that may seem at first to be similar to Columns and Tetris. A 2 x 2 square (an O tetromino) made of four smaller block pieces is dropped into the playing field, which may appear different as the player advances through levels or skins. The small blocks that comprise the larger blocks will be one of two different colors. The objective is to rotate and align the blocks in such a way as to create 2x2 squares of the same color, which may span multiple blocks and, indeed, share blocks. For example, if one should get a 2x3 area of matching blocks, the middle portion will ""share"" itself with both the left and right halves and create two 2x2 squares. After the ""timeline"", which is synchronized to the music, sweeps over the matching blocks, they disappear. When too many unmatched blocks pile up to the point where no more blocks may be dropped in the playing field, the game ends. When part of a falling block hits an obstruction, the unobstructed portion of the block will split off and continue to fall. More points are scored by creating the largest number of squares during one ""timeline"" sweep. Increasing score multipliers are earned by repeatedly clearing squares on consecutive timeline sweeps. Bonuses are also awarded by reducing all remaining tiles to one single color or for removing all non-active tiles from the screen altogether. Occasionally, a block falls with a special square of one of the two colors with a ""jewel"" in the center. This square, when cleared as part of a matched 2x2 square, will cause all individual blocks of the same color that are horizontally or vertically adjacent to the matched 2x2 square, or to an adjacent square, to be cleared without score. These can be used for both generating large bonuses, since generally several blocks of the other color will be formed once these are removed, as well as to help the player recover if the field becomes too cluttered.",,[9]
Lunar: Silver Star Story Complete,1999,DigiCube,DigiCube,13905,"Return to the world of LUNAR, in the completely reworked 32-bit version of the RPG classic. Journey back to a place where dragons yet live, and magic is valued above all else. Join Alex, the young adventurer, as he begins a quest with his friends to save their land from the crushing advance of the Magic Emperor. Explore Dungeons, fight terrifying monsters, and gather information from the locals as you advance toward the explosive encounter with the Magic Emperor himself! Exciting, menu-driven combat will keep you challanged until the last. And, thanks to the storage power of CD and the PlayStation's built-in movie player, LUNAR contains nearly an hour of incredible animation sequences that will get you involved in the story faster than you ever thought possible. Get ready for the ride of your life...",,[12]
Lunia: Record of Lunia War,2007,allm,"Nexon, CDC Games USA, Chinese Gamer",78769,A fantasy RPG.,,[12]
Lupinball,2017,Craftven,Craftven,33847,"Werewolves shooting fireballs at each other! Survive each round as it becomes more and more chaotic from everyone's fireballs bouncing around non-stop. Be the last wolf standing in this hilarious 2-4 player arcade deathmatch, local or online!",,"[14, 15, 32]"
Lux,2002,Sillysoft Games,Sillysoft Games,72442,"A turn-based strategy game with Risk-like rules, user-created maps and online play.",,[15]
Luxor,2005,MumboJumbo,MumboJumbo,7534,"Embark on an expedition through ancient sands in this exciting action-puzzler.A unique take on the match three puzzle, Luxor challenges you to think quickly and aim carefully as you explore the path of the Nile.",The mysterious goddess Isis has enlisted you to battle evil minions. Stop them before they can reach the pyramids -- or all of Egypt is doomed!,"[2, 5, 9, 31]"
Luxor 2,2006,MumboJumbo,MumboJumbo,7535,"The much anticipated sequel to the #1 casual game of 2005, LUXOR 2 sets the new standard for action-puzzlers. LUXOR 2 takes you on a beautiful voyage through 88 all-new, gorgeously rendered levels set amongst the pyramids of ancient Egypt. Use your mystical winged scarab to shoot and destroy the approaching magical spheres, and to help you shoot them down, Luxor 2 features more explosive power-ups than ever before.",,"[5, 9]"
Luxor 3,2007,MumboJumbo,MumboJumbo,4981,"A brave young Pharaoh, killed prematurely by a fierce sandstorm and embodied by the gods as a skillful scarab, must battle the powerful god of Chaos, Set, to free the essences of other Egyptian gods contained within colorful magical spheres.Stop the procession of approaching spheres as they journey through the maze by matching three or more. Call upon the gods, denoted by color, to release specific power-ups and purchase upgrades with Ankh coins collected during gameplay. Free all the gods from captivity before they reach the pyramid at the end of their path, or all is forever lost.",,[9]
Luxor: Quest for the Afterlife,2008,MumboJumbo,MumboJumbo,7537,"LUXOR, the #1-selling, action-puzzle game, blasts outside Egypt's borders and onto the Silk Road in search of riches beyond imagination. One of the most beautiful and well-known faces in history is also one of its greatest mysteries.","When the sacred artifacts of Queen Nefertiti are robbed, her spirit calls on you to find them. Wield the falcon-wing shooter of Horus, track down the thieves, and defeat them in the all-new Battle Mode. Choose your own path on a journey out of Egypt to Persia, Syria, India and other locations along the Silk Road.",[9]
M.I.A.: Mission in Asia,2011,Burut Software,GFI,53384,"M.I.A.: Mission in Asia is a first-person shooter video game. The game is set during the war in South Ossetia during the summer of 2008, from a Russian perspective.",,[5]
M1 Tank Platoon II,1998,Microprose,Microprose,36902,An M1 Abrams tank simulation released by MicroProse Software in 1998 for Windows 95/98/Me. It is the sequel to 1989 release M1 Tank Platoon.,M1 Tank Platoon II allowes the player to play several positions in the four tanks that comprised the platoon. A player could play as a tank commander under cover or open on the hatch to man the .50 caliber machine gun. Other positions included gunner and an outside 3-D scrolling view of any unit on the battlefield.,"[13, 15]"
Mabinogi,2004,devCAT,Nexon,21492,"Embark on amazing adventures, build lasting friendships or even find romance in this unique social game, where a welcoming community with thousands of devoted players await! Whoever you are, or whatever your heart’s desire, come express it in Mabinogi and start living your fantasy life!",,"[12, 13, 31]"
Mace Griffin: Bounty Hunter,2004,Warthog Games,Vivendi Universal,5904,"Mace Griffin: Bounty Hunter is a first person shooter video game developed by Warthog Games and released for the PlayStation 2, Xbox and Microsoft Windows. A GameCube version was in development, but was eventually cancelled.",,[5]
Machine Hunter,1997,Eurocom Entertainment Software,MGM Interactive,70760,"Machine Hunter is a top-down free-roaming shooter in which the core gameplay feature is the ability to take over the bodies of downed robots, thus slowly increasing the player's firepower.",,[15]
Machines,1999,Charybdis Limited,Acclaim Entertainment,22821,"A visual novel based on the My-Hime anime series, offering an alternate take on the plot.",,"[5, 10, 11, 15, 31]"
Mad Dog II: The Lost Gold,2003,"American Laser Games, Inc.",Selectsoft Publishing,4269,"The sequel to American Laser Game's original Mad Dog McCree, with pretty much the same gameplay and motion capture graphics. This PC conversion seems to have been tweaked a bit to be more stable than the original Mad Dog. There's also somewhat limited replay value as you can choose from 3 different guides for 3 different routes through the game.",,"[5, 33]"
Mad Tracks,2006,Load Inc.,Micro Application,4982,"Mad Tracks is a Micro Machines-style racing game. It was developed by Load Inc. for the PC (under Microsoft Windows) and was released in 2006. The Xbox 360 version was released on Xbox Live Arcade on May 30, 2007. This game is not to be confused with the same titled Mad Tracks racing game released in 1998 developed by Rayland Interactive.",,[10]
Mad Trax,1998,RayLand Interactive,Project Two Interactive BV,46442,"Mad Trax is an Action game, developed by Rayland Interactive and published by Project Two Interactive, which was released in 1998.",,[10]
