titles,released,developers,publishers
The Bishoujou Simulation RPG•Simple 2000 Series Vol. 21: The Bishoujo Simulation RPG – Moonlight TaleJP,24-04-2003,Yuki,D3 Publisher
Bistro Cupid 2,28-08-2003,Success,Success
Black,24-02-2006,Criterion Games,Electronic Arts
Black & Bruised,26-01-2003,Digital Fiction,"Majesco EntertainmentNA, Vivendi Universal GamesEU"
Black Cat: Kikai Shikake no Tenshi,30-03-2006,Capcom,Capcom
Black Market Bowling,10-06-2005,Tantalus,Midas Interactive Entertainment
Black/Matrix II,28-03-2002,Flight-Plan,NEC Interchannel
Blade II,02-09-2002,Mucky Foot,Activision
Blazing Souls,17-01-2006,Neverland,Idea Factory
Bleach: Blade Battlers,12-10-2006,Racjin,Sony Computer Entertainment
Bleach: Blade Battlers 2,27-09-2007,Racjin,Sony Computer Entertainment
Bleach: Erabareshi Tamashii,04-08-2005,Aspect,Sony Computer Entertainment
Bleach: Hanatareshi Yabou,16-02-2006,Dingo Inc.,Sony Computer Entertainment
Blitz: The League,17-10-2005,Midway Games,Midway Games
Blokus Club with Bumpy Trot,17-11-2005,Irem,Irem
Blood Omen 2,21-03-2002,Crystal Dynamics,Eidos Interactive
Blood Will Tell: Tezuka Osamu's Dororo•DororoJP,09-09-2004,Sega,Sega
Blood: The Last Vampire - Gekan,21-12-2000,Sony Computer Entertainment,Sony Computer Entertainment
Blood: The Last Vampire - Joukan,21-12-2000,Sony Computer Entertainment,Sony Computer Entertainment
Blood+: One Night Kiss,31-08-2006,Grasshopper Manufacture,Namco Bandai Games
Blood+: Souyoku no Battle Rondo,27-07-2006,Sony Computer Entertainment,Sony Computer Entertainment
BloodRayne,15-10-2002,Terminal Reality,"Majesco EntertainmentNA, Vivendi Universal GamesEU, Electronic ArtsJP"
BloodRayne 2,12-10-2004,Terminal Reality,"Majesco EntertainmentNA, THQEU"
Bloody Roar 3,01-03-2001,Eighting,"Hudson SoftJP, ActivisionNA, Virgin InteractiveEU"
Bloody Roar 4,11-11-2003,Eighting,"Hudson SoftJP,NA, KonamiEU"
BlowOut,06-11-2003,Terminal Reality,"Majesco EntertainmentNA, Zoo Digital PublishingEU"
BMX XXX,19-11-2002,Z-Axis,AKA Acclaim
Board Games Gallery,25-03-2005,Phoenix Games,Phoenix Games
Bob the Builder Eye Toy,20-07-2007,Atomic Planet Entertainment,Blast! Entertainment Ltd
Bob the Builder: Festival of Fun,30-11-2007,Atomic Planet Entertainment,Blast! Entertainment Ltd
Boboboubo Boubobo: Hajike Matsuri,20-03-2003,Hudson Soft,Hudson Soft
Boboboubo Boubobo: Shuumare! Taikan Boubobo,16-12-2004,Hudson Soft,Hudson Soft
Bode Miller Alpine Skiing•Ski Alpin 2006EU,07-12-2005,49Games,"RTLEU, Valcon GamesNA"
The Boku no Machidzukuri 2 – Machi-ing Maker 2.1•Simple 2000 Series Vol. 121: The Boku no Machidzukuri 2 – Machi-ing Maker 2.1JP,29-11-2007,Indi,D3 Publisher
Boku no Natsuyasumi 2: Umi no Bouken Hen,11-07-2002,Millennium Kitchen,Sony Computer Entertainment
Boku wa Chiisai,11-07-2002,Victor Interactive Software,Victor Interactive Software
Bokura no Kazoku,24-03-2005,Millennium Kitchen,Sony Computer Entertainment
Bolt,10-11-2008,Avalanche Software,Disney Interactive Studios
Bombastic•Xi GoJP,19-12-2002,Shift,"CapcomEU,NA, Sony Computer EntertainmentJP"
Bomberman Hardball•Bomberman BattlesJP,07-10-2004,Hudson Soft,Hudson SoftJPUbisoftEU
Bomberman Jetters,19-12-2002,Hudson Soft,Hudson Soft
Bomberman Kart,20-12-2001,"Racjin, Hudson Soft",Hudson SoftJPKonamiEU
Bomberman Kart DX,15-04-2004,"Racjin, Hudson Soft",Hudson Soft
Bomberman Land 2,17-07-2003,Racjin,Hudson Soft
Bomberman Land 3,04-08-2005,Racjin,Hudson Soft
Boogie,12-11-2007,Pipeworks Studios,Electronic Arts
Bouken Jidai Katsugeki: Goemon,21-12-2000,Konami,Konami
Bouken Shounen Club Gahou,25-09-2003,Jorudan,Jorudan
Bouken-Ou Beet: Darkness Century,28-04-2005,Shade,Bandai
Boukoku no Aegis 2035: Warship Gunner,21-07-2005,Koei,Koei
The Bouncer,23-12-2000,Dream Factory,"SquareSoftJP, Square EANA, Sony Computer EntertainmentEU"
Bowling Xciting•Simple 2000 Series Vol. 24: The Bowling HyperJP,27-03-2003,Tamsoft,"D3 PublisherJP, AgetecEU"
Boxing Champions•Simple 2000 Series Vol. 7: The Boxing – Real First FighterJP,25-07-2002,Tamsoft,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Bratz: Forever Diamondz,18-09-2006,Blitz Games,THQ
Bratz: Girlz Really Rock,13-10-2008,Blitz Games,THQ
Bratz: The Movie,25-09-2007,Blitz Games,THQ
Bratz: Rock Angelz,06-10-2005,Blitz Games,THQ
Brave Story: Wataru no Bouken,06-07-2006,"SIMS Co., Ltd.",Sony Computer Entertainment
Brave: The Search for Spirit Dancer,02-09-2005,Vis Entertainment,"Sony Computer EntertainmentEU, SouthPeak GamesNA"
Bravo Music: Chou-Meikyokuban,17-01-2002,Sony Computer Entertainment,Sony Computer Entertainment
Bravo Music: Christmas Edition,22-11-2001,Sony Computer Entertainment,Sony Computer Entertainment
"Breath of Fire: Dragon Quarter•Breath of Fire V: Dragon QuarterJP,KO",14-11-2002,Capcom Production Studio 3,Capcom
Breeders' Cup World Thoroughbred Championships,29-09-2005,4J Studios,Bethesda Studios
Brian Lara International Cricket 2005•Ricky Ponting International Cricket 2005AU,21-07-2005,Codemasters,Codemasters
Brian Lara International Cricket 2007•Ricky Ponting International Cricket 2007AU•Yuvraj Singh International Cricket 2007IN,23-03-2007,Codemasters,Codemasters
Britney's Dance Beat,08-05-2002,Metro Graphics,THQ
Broken Sword: The Sleeping Dragon•Baphomets Fluch: Der schlafende DracheDE•Broken Sword: Nemureru Ryuu no DensetsuJP,14-11-2003,Revolution Software,"THQEU, Marvelous EntertainmentJP"
Brothers in Arms: Earned in Blood•Brothers in Arms: Meiyo no DaishouJP,27-10-2005,Gearbox Software,Ubisoft
Brothers in Arms: Road to Hill 30•Brother in Arms: Road to Hill 30KO,15-02-2005,Gearbox Software,Ubisoft
Brunswick Pro Bowling,21-08-2007,Point of View,"Crave EntertainmentNA, 505 GamesPAL"
Buccaneer•Simple 2000 Series Vol. 96: The Kaizoku – Gaikotsu Ippaire~tsu!JP,06-04-2006,DigitalWare,"D3 PublisherJP, Essential GamesEU"
Buffy the Vampire Slayer: Chaos Bleeds,27-08-2003,Eurocom,Vivendi Universal Games
Bujingai: The Forsaken City•BujingaiJP•Bujingai: SwordmasterEU,25-12-2003,Taito,"TaitoJP, BAM! EntertainmentNA, 505 Game StreetEU"
Bully•Canis Canem EditPAL,17-10-2006,Rockstar Vancouver,"Rockstar GamesNA,PAL, Bethesda SoftworksJP"
Burnout,01-11-2001,Criterion Games,Acclaim Entertainment
Burnout 2: Point of Impact,30-09-2002,Criterion Games,"Acclaim EntertainmentEU,NA, Sammy StudiosJP"
Burnout 3: Takedown,07-09-2004,Criterion Games,EA Games
Burnout Dominator,06-03-2007,Criterion Games,Electronic Arts
Burnout Revenge,13-09-2005,Criterion Games,Electronic Arts
Busin 0: Wizardry Alternative Neo,13-11-2003,Racjin,Atlus
Busou Renkin: Yokosu Papillon Park e,28-06-2007,Shade,Marvelous
Bust-A-Bloc•Simple 2000 Series Vol. 5: The Block Kuzushi HyperJP,30-05-2002,Tamsoft,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Butt-Ugly Martians: Zoom or Doom!,06-12-2002,Crave Entertainment,"Vivendi Universal GamesEU, Crave EntertainmentNA"
Buzz!: The BIG Quiz,17-03-2006,Relentless Software,Sony Computer Entertainment
Buzz!: Brain of the World,13-02-2009,Relentless Software,Sony Computer Entertainment
Buzz!: The Hollywood Quiz,19-10-2007,Relentless Software,Sony Computer Entertainment
Buzz!: The Mega Quiz,27-04-2007,Relentless Software,Sony Computer Entertainment
Buzz!: The Music Quiz,21-10-2005,Relentless Software,SCEE
Buzz!: The Pop Quiz,14-03-2008,Relentless Software,Sony Computer Entertainment
Buzz!: The Schools Quiz,11-01-2008,Relentless Software,Sony Computer Entertainment
Buzz!: The Sports Quiz,10-11-2006,Relentless Software,Sony Computer Entertainment
Buzz! Junior: Ace Racers,24-02-2008,Cohort Studios,Sony Computer Entertainment
Buzz! Junior: Dino Den,22-02-2008,Cohort Studios,Sony Computer Entertainment
Buzz! Junior: Jungle Party,20-10-2006,Magenta Software,Sony Computer Entertainment
Buzz! Junior: Monster Rumble,02-11-2007,FreeStyleGames & Magenta Software,Sony Computer Entertainment
Buzz! Junior: Robo Jam,27-05-2007,Cohort Studios,Sony Computer Entertainment
C@M-Station,28-04-2005,Arduc,Arduc
Cabela's African Safari,17-10-2006,Sand Grain Studios,Activision
Cabela's Alaskan Adventures,19-09-2006,Sand Grain Studios,Activision
Cabela's Big Game Hunter (2002),26-11-2002,Sand Grain Studios,Activision
Cabela's Big Game Hunter (2007),06-11-2007,Sand Grain Studios,Activision
Cabela's Big Game Hunter 2005 Adventures,10-11-2004,Sand Grain Studios,Activision
Cabela's Dangerous Hunts,11-11-2003,Sand Grain Studios,"ActivisionNA, Zoo Digital PublishingEU"
Cabela's Dangerous Hunts 2,16-11-2005,Sand Grain Studios,Activision
Cabela's Dangerous Hunts 2009•Cabela's Dangerous AdventuresPAL,23-09-2008,Sand Grain Studios,Activision
Cabela's Deer Hunt: 2004 Season•Cabela's Deer Hunt: Season OpenerNA,27-08-2003,Sand Grain Studios,Activision
Cabela's Deer Hunt: 2005 Season,26-08-2004,Sand Grain Studios,Activision
Cabela's Legendary Adventures,17-09-2008,Sand Grain Studios,Activision
Cabela's Monster Bass,19-11-2007,Sand Grain Studios,Activision
Cabela's North American Adventures,14-09-2010,FUN Labs,Activision
Cabela's Outdoor Adventures (2005),14-09-2005,Sand Grain Studios,"ActivisionNA, Zoo Digital PublishingEU"
Cabela's Outdoor Adventures (2009),09-09-2009,Sand Grain Studios,Activision
Cabela's Trophy Bucks,19-09-2007,Sand Grain Studios,Activision
Cafe Lindbergh: Summer Season,31-03-2005,PrincessSoft,PrincessSoft
Cafe Little Wish: Mahou no Recipe,29-05-2003,PrincessSoft,PrincessSoft
Cake Mania: Baker's Challenge,07-10-2008,Coresoft,Destineer
Call of Duty: Finest Hour,16-11-2004,Spark Unlimited,"ActivisionEU,NA, CapcomJP"
Call of Duty: World at War – Final Fronts,10-11-2008,Rebellion Developments,Activision
Call of Duty 2: Big Red One,01-11-2005,Treyarch,"ActivisionNA,PAL, KonamiJP"
Call of Duty 3,07-11-2006,Treyarch,Activision
Cambrian QTS: Kaseki ni Nattemo,11-12-2003,Tenky,Global A
Canaria,10-04-2003,Frontwing,NEC Interchannel
Canvas: Motif of Sepia•Canvas: Sepia-iro no MotifJP,10-04-2003,Cocktail Soft,NEC Interchannel
Canvas 2: Red Colored Palette•Canvas 2: Akane Iro no PaletteJP,26-01-2006,Kadokawa Games,NEC Interchannel
Canvas 3: Tanshoku no Pastel,17-09-2009,GN Software,NEC Interchannel
Capcom Classics Collection Vol. 1,27-09-2005,Backbone Entertainment,Capcom
Capcom Classics Collection Vol. 2,24-11-2006,Backbone Entertainment,Capcom
"Capcom Fighting Evolution•Capcom Fighting JamEU,JP,KO",16-11-2004,Capcom,Capcom
Capcom vs. SNK 2: Mark of the Millennium 2001•Capcom vs. SNK 2: Millionaire Fighting 2001JP,13-09-2001,Capcom,Capcom
Captain Scarlet,05-12-2006,Brain in a Jar,Blast! Entertainment Ltd
Captain Tsubasa,19-10-2006,Bandai,Bandai
Car Racing Challenge•Simple 2000 Series Vol. 68: The Tousou Highway: Nagoya – TokyoJP,09-12-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
Card Captor Sakura: Sakura-Chan to Asobo!,04-12-2004,NHK,NHK
Cardinal Arc: Konton no Fuusatsu,07-08-2003,Idea Factory,Idea Factory
Carmen Sandiego: The Secret of the Stolen Drums,05-03-2004,A2M,BAM! Entertainment
Carol Vorderman's Sudoku,25-08-2006,Atomic Planet Entertainment,"Eidos InteractiveNA, XplosivEU"
Cars,06-06-2006,Rainbow Studios,THQ
Cars Mater-National Championship,29-10-2007,Rainbow Studios,THQ
Cars Race-O-Rama,12-10-2009,Incinerator Studios,THQ
CART Fury Championship Racing,25-05-2001,Midway,Midway
Cart Kings,03-08-2011,Gameshastra Inc.,Sony Computer Entertainment
Cartagra,15-12-2005,KID,KID
Cartoon Kingdom,07--2007,Phoenix Games,Phoenix Games
Cartoon Network Racing,04-12-2006,Eutechnyx,The Game Factory
Carwash Tycoon,29-09-2006,Aqua Pacific,Phoenix Games
Casino Challenge,16-01-2004,Aqua Pacific,Play It!
Casper and The Ghostly Trio,10-02-2007,Data Design Interactive,Blast! Entertainment Ltd
Casper: Spirit Dimensions,30-09-2001,Lucky Chicken,TDK Mediactive
Casper's Scare School,01-02-2008,Data Design Interactive,Blast! Entertainment Ltd
Castle Fantasia: Arihato Senki,09-08-2007,Studio e.go!,GN Software
Castle Fantasia: Erenshia Senki Plus Stories,24-02-2005,Kadokawa Games,Kadokawa Games
Castle Shikigami 2•Shikigami no Shiro 2JP•Castle Shikigami II: War of the WorldsEU,29-01-2004,Alfa System,"TaitoJP, XS GamesNA, Play It!EU"
Castlevania: Curse of Darkness•Akumajou Dracula: Yami no JuinJP,01-11-2005,Konami TYO,Konami
Castlevania: Lament of Innocence•CastlevaniaEU.JP,21-10-2003,Konami TYO,Konami
Castleween•Mahou no PumpkinJP,29-11-2002,Kalisto Entertainment,"Wanadoo EditionEU, MTOJP"
Catwoman,20-07-2004,Argonaut Games,Electronic Arts
CaveMan Rock,07--2007,Phoenix Games,Phoenix Games
Cel Damage Overdrive,12-12-2002,Pseudo Interactive,Play It!
Centre Court: Hard Hitter•Magical Sports: Hard HitterJP,28-06-2001,Magical Company,"Magical CompanyJP, Midas Interactive EntertainmentEU"
Chaindive,16-10-2003,Alvion,Sony Computer Entertainment
Champions of Norrath: Realms of Everquest,10-02-2004,Snowblind Studios,Sony Online Entertainment
Champions: Return to Arms,07-02-2005,Snowblind Studios,Sony Online Entertainment
Championship Manager 2006,05-05-2006,Beautiful Game Studios,Eidos Interactive
Championship Manager 2007,16-03-2007,Beautiful Game Studios,Eidos Interactive
Championship Manager 5,13-05-2005,Beautiful Game Studios,Eidos Interactive
Chandragupta: Warrior Prince,28-09-2009,Immersive Games,Sony Computer Entertainment
Chanter♯: Kimi no Uta ga Todoitara,30-08-2007,Terios,Interchannel
Chaos Field: New Order,15-12-2005,MileStone Inc.,MileStone Inc.
Chaos Legion,06-03-2003,Capcom,Capcom
Chaos Wars,21-09-2006,Idea Factory,"Idea FactoryJP, O~3 EntertainmentNA"
Charlie and the Chocolate Factory,11-07-2005,High Voltage Software,"Global Star SoftwareNA, 2K GamesEU"
Charlie's Angels,04-07-2003,Neko Entertainment,Ubisoft
Charlotte's Web,14-11-2006,Atomic Planet Entertainment,Blast! Entertainment Ltd
Cheggers Party Quiz,26-10-2007,Oxygen Games,Oxygen Games
Chemist Tycoon,29-09-2006,Aqua Pacific,Phoenix Games
Chenuen no San Goku Shi,01-11-2001,Game Arts,ESP Software
Cherry Blossom,30-12-2004,Takuyo,Takuyo
Chess Challenger,16-01-2004,Play It!,Play It!
Chess Crusade,09-09-2008,Slam Games,Zoo Digital Publishing
Chessmaster,25-04-2003,Ubisoft,Ubisoft
Choaniki: Sei Naru Protein Densetsu,30-10-2003,Global A,Global A
Chobits: Chii dake no Hito,15-05-2003,Affect,Broccoli
Chocolat: Maid Cafe Curio,30-06-2005,HuneX,Alchemist
ChopLifter: Crisis Shield,13-02-2004,ASK,Xicat Interactive
ChoroQ•Choro Q HG 4JP,27-11-2003,Barnhouse Effect,"TakaraJP, AtlusNA, Zoo Digital PublishingEU"
ChoroQ Works,26-05-2005,Atlus,Atlus
Chou Gouka! Quiz Ketteiban•TBS All-Star Kansha Matsuri Vol .1: Chou Gouka! Quiz KetteibanJP,17-04-2003,Hudson Soft,Hudson Soft
Chou-jikuu Yousai Macross,23-10-2003,Sega AM2,Bandai
Chou-Saisoku! Zokusha King BU,28-04-2004,Tamsoft,D3 Publisher
Chou-Saisoku! Zokusha King BU no BU•Simple 2000 Ultimate Series Vol.25: Chou-Saisoku! Zokusha King BU no BUJP,26-05-2005,Tamsoft,D3 Publisher
Choukousoku Igo,15-02-2001,Success,Success
Choukousoku Mahjong,21-12-2000,Success,Success
Choukousoku Mahjong Plus,28-02-2002,Success,Success
Choukousoku Reversi,21-12-2000,Success,Success
Choukousoku Shogi,15-02-2001,Success,Success
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe•Narnia Koku Monogatari: Lion to MajoJP",14-11-2005,Traveller's Tales,"Buena Vista GamesEU,NA, D3 PublisherJP"
The Chronicles of Narnia: Prince Caspian,15-05-2008,Traveller's Tales,Disney Interactive Studios
Chu~Kana Janshi,28-12-2004,GeneX,CyberFront
Chulip,03-10-2002,Punchline,"Victor InteractiveJP, NatsumeNA"
CID The Dummy,17-04-2009,Twelve Games,Oxygen Games
Cinderella,13-10-2006,Phoenix Games,Phoenix Games
Circuit Blasters,21-07-2005,Supersonic Software,Metro3D
Circus Maximus: Chariot Wars,05-07-2002,Kodiak Interactive,THQ
City Crisis,28-06-2001,Syscom Entertainment,"Syscom EntertainmentJP, Take-Two InteractiveEU,NA"
City Soccer Challenge,28-07-2006,Data Design Interactive,Phoenix Games
Clannad,23-02-2006,Visual Arts,Interchannel
Classic British Motor Racing,10-02-2006,Data Design Interactive,Metro3D
Clear: Atarashii Kaze no Fuku Oka de,19-02-2009,Moonstone,Sweets
Clever Kids-Dino Land,02-11-2007,Midas Interactive Entertainment,Midas Interactive Entertainment
Clever Kids-Pony World,02-11-2007,Midas Interactive Entertainment,Midas Interactive Entertainment
Climax Tennis: WTA Tour Edition,17-01-2002,Konami,Konami
Clock Tower 3,12-12-2002,Capcom Production Studio 3,Capcom
Clock Zero: Shuuen no Ichibyou,25-11-2010,Otomate,Idea Factory
Clover Heart's: Looking for Happiness,26-08-2004,ALcot,NEC Interchannel
Clover no Kuni no Alice,15-04-2010,Quinrose,Prototype
Club Football,10-10-2003,Codemasters,Codemasters
Club Football 2005,15-10-2004,Codemasters,Codemasters
Clumsy Shumsy,27-10-2006,Phoenix Games,Phoenix Games
Cluster Edge,14-09-2006,Matrix Software,Marvelous Entertainment
CMT Presents: Karaoke Revolution Country,21-03-2006,Harmonix,Konami
Cocoto Fishing Master,07-12-2007,Neko Entertainment,"Big Ben InteractiveEU, Conspiracy EntertainmentNA"
Cocoto Funfair,06--2006,Neko Entertainment,Big Ben Interactive
Cocoto Kart Racer,02-03-2005,Neko Entertainment,Big Ben Interactive
Cocoto Platform Jumper,02-07-2004,Neko Entertainment,Big Ben Interactive
Code Age Commanders,13-10-2005,Square Enix,Square Enix
Code Geass: Lelouch of the Rebellion: Lost Colors•Code Geass: Hangyaku no Lelouch – Lost ColorsJP,27-03-2008,Crafts & Meister,Bandai Namco
Code Lyoko: Quest for Infinity,21-07-2008,Neko Entertainment,The Game Factory
Code of the Samurai•Shinsengumi Gunrou-denJP,10-02-2005,Red Entertainment,"SegaJP, Midas Interactive EntertainmentEU"
Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.,11-10-2005,High Voltage Software,Global Star Software
Cold Fear,04-03-2005,Darkworks,Ubisoft
Cold Winter,11-05-2005,Swordfish Studios,Vivendi Universal Games
Colin McRae Rally 04,19-09-2003,Codemasters,Codemasters
Colin McRae Rally 3,25-10-2002,Codemasters,Codemasters
Colin McRae Rally 2005,24-09-2004,Codemasters,Codemasters
College Hoops 2K6,30-11-2005,Visual Concepts,2K Sports
College Hoops 2K7,11-12-2006,Visual Concepts,2K Sports
College Hoops 2K8,19-11-2007,Visual Concepts,2K Sports
Coloball 2002,27-06-2002,Vanpool,Enterbrain
Colorful Aquarium: My Little Mermaid,25-10-2007,Eufonie,NIne'sFox
Colorful Box: To Love,27-05-2004,Sound Tail,KID
Colosseum: Road to Freedom•Gladiator: Road to FreedomJP,17-02-2005,Ertain,KOEI
Combat Ace,13-10-2006,Phoenix Games,Phoenix Games
Combat Elite: WWII Paratroopers,21-11-2005,BattleBorne Entertainment,SouthPeak Games
Combat Queen,01-08-2002,General Entertainment,Taito
Commandos: Strike Force,17-03-2006,Pyro Studios,"Eidos InteractiveEU,NA, SpikeJP"
Commandos 2: Men of Courage,28-08-2002,Pyro Studios,Eidos Interactive
Conan,07-05-2004,Cauldron,TDK Mediactive
Conflict: Desert Storm•Conflict Delta: Wangan Sensou 1991JP,13-09-2002,Pivotal Games,"SCiEU, Gotham GamesNA, CapcomJP"
Conflict: Desert Storm II: Back to Baghdad•Conflict Delta II: Wangan Sensou 1991JP,19-09-2003,Pivotal Games,"SCiEU, Gotham GamesNA, CapcomJP"
Conflict: Global Terror•Conflict: Global StormEU,30-09-2005,Pivotal Games,"SCiEU, 2K GamesNA"
Conflict: Vietnam,03-09-2004,Pivotal Games,"SCiEU, Global Star SoftwareNA"
Conflict Zone,16-08-2002,MASA Group,Ubisoft
Conspiracy: Weapons of Mass Destruction,17-06-2005,Kuju Entertainment,Oxygen Games
Constantine,14-02-2005,Bits Studios,"THQNA, SCiEU, Marvelous EntertainmentJP"
"Contra: Shattered Soldier•Shin ContraJP,KO",22-10-2002,Konami,Konami
The Conveni 3,24-04-2003,Hamster Corporation,Hamster Corporation
The Conveni 4,27-04-2006,Hamster Corporation,Hamster Corporation
Cool Boarders 2001,21-05-2001,Idol Minds,Sony Computer Entertainment
Cool Boarders: Code Alien,21-12-2000,UEP Systems,UEP Systems
Cool Shot,23-01-2003,DigiCube,"DigiCubeJP, Phoenix GamesEU"
Coraline,27-01-2009,Papaya Studio,D3 Publisher
Corvette,09-03-2004,Steel Monkeys,"Global Star SoftwareNA, TDK MediactiveEU"
Corvette Evolution GT•Evolution GTPAL,11-10-2006,Milestone srl,"Valcon GamesNA, Black Bean GamesPAL"
Counter Terrorist Special Forces: Fire for Effect•Counter Terrorist Special Forces: Tero-Taisaku Tokushubutai: Nemesis no ShuuraiJP,01-04-2005,Asobo Studio,"LSPEU, Titus SoftwareJP"
Countryside Bears,06--2006,Phoenix Games,Phoenix Games
Covert Command•Simple 2000 Series Vol. 102: The Fuhyou: Senjou no Inu TachiJP,03-08-2006,Tamsoft,"D3 PublisherJP, Essential GamesEU"
Cowboy Bebop: Tsuioku no Serenade,25-08-2005,Bandai,Bandai
CR Pachinko Dokaben: Pachitte Chonmage Tatsujin 7,07-10-2004,Hack Berry,Hack Berry
CR Pachinko Yellow Cab: Pachitte Chonmage Tatsujin 6,15-07-2004,Hack Berry,Hack Berry
Crabby Adventure,01-12-2007,Phoenix Games,Phoenix Games
Crash 'N' Burn,15-11-2004,Climax Studios,Eidos Interactive
Crash Bandicoot: The Wrath of Cortex•Crash Bandicoot 4: Sakuretsu! Majin PowerJP,01-11-2001,Traveller's Tales,"Universal InteractiveEU,NA, KonamiJP"
